NOAA Solar Calculations - Change any of the highlighted cells to get solar position data for that location and time-of-day for a year.,,,Date,Time (hrs past local midnight),Julian Day,Julian Century,,Geom Mean Long Sun (deg),Geom Mean Anom Sun (deg),Eccent Earth Orbit,Sun Eq of Ctr,Sun True Long (deg),Sun True Anom (deg),Sun Rad Vector (AUs),Sun App Long (deg),Mean Obliq Ecliptic (deg),Obliq Corr (deg),Sun Rt Ascen (deg),Sun Declin (deg),var y,Eq of Time (minutes),HA Sunrise (deg),Solar Noon (LST),Sunrise Time (LST),Sunset Time (LST),Sunlight Duration (minutes),True Solar Time (min),Hour Angle (deg),Solar Zenith Angle (deg),Solar Elevation Angle (deg),Approx Atmospheric Refraction (deg),Solar Elevation corrected for atm refraction (deg),Solar Azimuth Angle (deg cw from N),
Latitude (+ to N),60,,1/1/10,12:00:00,2455198.00,0.10001369,,281.0362697,3957.926938,0.016704428,-0.070717212,280.9655525,3957.85622,0.98330788,280.9643068,23.43799052,23.43893291,-78.07670847,-22.98626449,0.043033177,-3.54907594,45.32068984,12:03:33,9:02:16,15:04:50,362.5655188,716.4509241,-0.887268985,82.98945053,7.010549473,0.12163404,7.132183513,179.1770333,
Longitude (+ to E),0,,1/2/10,12:00:00,2455199.00,0.10004107,,282.0219171,3958.912538,0.016704427,-0.037102229,281.9848148,3958.875436,0.983299685,281.9835708,23.43799016,23.43893035,-76.97398218,-22.89868564,0.043033167,-4.016469379,45.5700646,12:04:01,9:01:44,15:06:18,364.5605168,715.9835306,-1.004117345,82.90276948,7.097230516,0.120346055,7.217576571,179.0678773,
Time Zone (+ to E),0,,1/3/10,12:00:00,2455200.00,0.10006845,,283.0075644,3959.898138,0.016704426,-0.003475561,283.0040889,3959.894663,0.983296602,283.0028465,23.4379898,23.4389278,-75.87272787,-22.80350868,0.043033157,-4.478104816,45.83951798,12:04:29,9:01:07,15:07:50,366.7161439,715.5218952,-1.119526204,82.8085898,7.191410202,0.118974096,7.310384298,178.9598029,
Local Time (hrs),12:00:00,,1/4/10,12:00:00,2455201.00,0.10009582,,283.9932118,3960.883738,0.016704425,0.030152199,284.023364,3960.913891,0.983298631,284.0221232,23.43798945,23.43892524,-74.77307039,-22.7007802,0.043033148,-4.933492065,46.12856505,12:04:56,9:00:25,15:09:27,369.0285204,715.0665079,-1.233373016,82.70695328,7.293046719,0.117524706,7.410571425,178.8529046,
Year,2010,,1/5/10,12:00:00,2455202.00,0.10012320,,284.9788592,3961.869339,0.016704424,0.063770452,285.0426296,3961.933109,0.983305772,285.0413904,23.43798909,23.43892268,-73.6751315,-22.59055053,0.043033138,-5.382151753,46.43669807,12:05:23,8:59:38,15:11:08,371.4935845,714.6178482,-1.345537938,82.59790511,7.402094895,0.116004579,7.518099473,178.7472759,
,,,1/6/10,12:00:00,2455203.00,0.10015058,,285.9645065,3962.854939,0.016704423,0.097368608,286.0618751,3962.952308,0.983318021,286.0606375,23.43798874,23.43892012,-72.57902971,-22.47287361,0.043033128,-5.823616062,46.76338972,12:05:49,8:58:46,15:12:53,374.1071178,714.1763839,-1.455904015,82.48149374,7.518506256,0.114420495,7.632926751,178.6430089,
,,,1/7/10,12:00:00,2455204.00,0.10017796,,286.9501539,3963.840539,0.016704422,0.130936081,287.08109,3963.971475,0.983335376,287.079854,23.43798838,23.43891756,-71.48488003,-22.34780692,0.043033119,-6.257429435,47.10809633,12:06:15,8:57:50,15:14:41,376.8647706,713.7425706,-1.564357359,82.35777092,7.642229084,0.11277926,7.755008344,178.5401941,
,,,1/8/10,12:00:00,2455205.00,0.10020534,,287.9358012,3964.82614,0.01670442,0.164462298,288.1002635,3964.990602,0.98335783,288.0990292,23.43798802,23.438915,-70.39279381,-22.21541141,0.043033109,-6.683149254,47.4702609,12:06:41,8:56:48,15:16:34,379.7620872,713.3168507,-1.670787314,82.22679152,7.773208483,0.111087642,7.884296125,178.4389204,
,,,1/9/10,12:00:00,2455206.00,0.10023272,,288.9214486,3965.81174,0.016704419,0.197936701,289.1193853,3966.009677,0.983385377,289.1181525,23.43798767,23.43891244,-69.30287864,-22.07575135,0.043033099,-7.100346484,47.84931617,12:07:06,8:55:42,15:18:30,382.7945294,712.8996535,-1.775086621,82.08861356,7.911386444,0.109352317,8.020738761,178.3392752,
,,,1/10/10,12:00:00,2455207.00,0.10026010,,289.907096,3966.79734,0.016704418,0.231348751,290.1384447,3967.028689,0.983418007,290.1372135,23.43798731,23.43890988,-68.2152381,-21.92889432,0.04303309,-7.508606285,48.24468746,12:07:31,8:54:32,15:20:29,385.9574997,712.4913937,-1.877151571,81.94329809,8.056701914,0.107579819,8.164281733,178.2413439,
,,,1/11/10,12:00:00,2455208.00,0.10028747,,290.8927433,3967.78294,0.016704417,0.264687932,291.1574313,3968.047628,0.983455709,291.1562017,23.43798695,23.43890731,-67.12997169,-21.77491102,0.04303308,-7.907528588,48.6557954,12:07:54,8:53:17,15:22:32,389.2463632,712.0924714,-1.976882147,81.79090913,8.209090869,0.105776494,8.314867364,178.1452103,
,,,1/12/10,12:00:00,2455209.00,0.10031485,,291.8783907,3968.768541,0.016704416,0.297943757,292.1763345,3969.066484,0.983498471,292.1751064,23.4379866,23.43890475,-66.04717469,-21.6138752,0.04303307,-8.296728637,49.08205849,12:08:18,8:51:58,15:24:37,392.6564679,711.7032714,-2.074182159,81.63151361,8.368486391,0.10394846,8.472434851,178.0509561,
,,,1/13/10,12:00:00,2455210.00,0.10034223,,292.8640381,3969.754141,0.016704415,0.331105768,293.1951438,3970.085247,0.98354628,293.1939174,23.43798624,23.43890218,-64.96693802,-21.44586358,0.043033061,-8.675837488,49.52289548,12:08:41,8:50:35,15:26:46,396.1831639,711.3241625,-2.168959372,81.46518126,8.534818737,0.102101573,8.63692031,177.9586609,
,,,1/14/10,12:00:00,2455211.00,0.10036961,,293.8496854,3970.739741,0.016704413,0.364163542,294.213849,3971.103905,0.983599119,294.2126241,23.43798589,23.43889962,-63.88934818,-21.27095571,0.043033051,-9.044502478,49.97772761,12:09:03,8:49:08,15:28:57,399.8218209,710.9554975,-2.261125619,81.29198457,8.708015428,0.100241399,8.808256827,177.8684023,
,,,1/15/10,12:00:00,2455212.00,0.10039699,,294.8353328,3971.725342,0.016704412,0.397106696,295.2324395,3972.122448,0.983656972,295.2312162,23.43798553,23.43889705,-62.81448715,-21.08923386,0.043033041,-9.402387647,50.44598057,12:09:24,8:47:37,15:31:11,403.5678445,710.5976124,-2.350596912,81.11199868,8.88800132,0.098373194,8.986374514,177.7802558,
